ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1996-01-01,142661.31338871008,122551.57017537454,161242.67362978062,142661.31338871008,142661.31338871008,154.16566272047996,154.16566272047996,154.16566272047996,154.16566272047996,154.16566272047996,154.16566272047996,0.0,0.0,0.0,142815.47905143056
1996-04-01,144099.93735529526,125347.28150048085,163051.60219445406,144099.93735529526,144099.93735529526,426.1587634549888,426.1587634549888,426.1587634549888,426.1587634549888,426.1587634549888,426.1587634549888,0.0,0.0,0.0,144526.09611875025
1996-07-01,145538.56132188044,126345.43297574203,162461.4781661567,145538.56132188044,145538.56132188044,134.00588321311758,134.00588321311758,134.00588321311758,134.00588321311758,134.00588321311758,134.00588321311758,0.0,0.0,0.0,145672.56720509354
1996-10-01,147201.75717624513,131966.24496349628,168213.17698329873,147201.75717624513,147201.75717624513,3407.6351032219613,3407.6351032219613,3407.6351032219613,3407.6351032219613,3407.6351032219613,3407.6351032219613,0.0,0.0,0.0,150609.39227946708
1997-01-01,148864.95303060987,131657.4613811295,170903.82274855854,148864.95303060987,148864.95303060987,2739.1567808460304,2739.1567808460304,2739.1567808460304,2739.1567808460304,2739.1567808460304,2739.1567808460304,0.0,0.0,0.0,151604.1098114559
1997-04-01,150491.99245335796,132769.02359263785,170085.72493259714,150491.99245335796,150491.99245335796,1118.871316200163,1118.871316200163,1118.871316200163,1118.871316200163,1118.871316200163,1118.871316200163,0.0,0.0,0.0,151610.8637695581
1997-07-01,152137.11009191436,134116.863019098,171319.0377498877,152137.11009191436,152137.11009191436,585.085376917349,585.085376917349,585.085376917349,585.085376917349,585.085376917349,585.085376917349,0.0,0.0,0.0,152722.19546883172
1997-10-01,153800.3059462791,137622.43465485758,175043.97697483073,153800.3059462791,153800.3059462791,2952.986708164745,2952.986708164745,2952.986708164745,2952.986708164745,2952.986708164745,2952.986708164745,0.0,0.0,0.0,156753.29265444385
1998-01-01,155463.50180064383,137202.94752895035,176808.80773695195,155463.50180064383,155463.50180064383,1884.554874999444,1884.554874999444,1884.554874999444,1884.554874999444,1884.554874999444,1884.554874999444,0.0,0.0,0.0,157348.05667564328
1998-04-01,157113.86805390846,139080.83488127874,177768.0115922447,157113.86805390846,157113.86805390846,1798.5492753751387,1798.5492753751387,1798.5492753751387,1798.5492753751387,1798.5492753751387,1798.5492753751387,0.0,0.0,0.0,158912.4173292836
